Job ID,Agency,# Of Positions,Civil Service Title,Salary Range From,Salary Range To,Salary Frequency,Salary Range
241375,ADMIN FOR CHILDREN'S SVCS,1,ADMINISTRATIVE DIRECTOR OF SOC,58675,156793,Annual,98118
239712,DEPT OF ENVIRONMENT PROTECTION,1,CIVIL ENGINEER,72805,101148,Annual,28343
241390,DEPARTMENT OF TRANSPORTATION,2,COMPUTER SPECIALIST (SOFTWARE),77157,99406,Annual,22249
239915,DEPT. OF HOMELESS SERVICES,1,ADMINISTRATIVE COMMUNITY RELAT,53051,145991,Annual,92940
239926,HOUSING PRESERVATION & DVLPMNT,1,ADMINISTRATIVE CITY PLANNER,53051,100000,Annual,46949
241439,DEPT OF YOUTH & COMM DEV SRVS,1,ASSOCIATE CONTRACT SPECIALIST,54401,81976,Annual,27575
244296,DEPT OF INFO TECH & TELECOMM,2,COMPUTER SPECIALIST (SOFTWARE),89383,119000,Annual,29617
240138,DEPT OF INFO TECH & TELECOMM,1,IT PROJECT SPECIALIST,75000,80000,Annual,5000
239965,DEPARTMENT OF INVESTIGATION,1,PROCUREMENT ANALYST,44945,64580,Annual,19635
268098,DEPT OF DESIGN & CONSTRUCTION,3,CONSTRUCTION PROJECT MANAGER,67083,113725,Annual,46642
242175,ADMIN FOR CHILDREN'S SVCS,1,ADMINISTRATIVE STAFF ANALYST (,61031,95022,Annual,33991
241671,DEPT OF HEALTH/MENTAL HYGIENE,1,COMPUTER SPECIALIST (SOFTWARE),83323,108101,Annual,24778
240158,DEPARTMENT OF TRANSPORTATION,1,CLERICAL ASSOCIATE,36166,56775,Annual,20609
242911,DEPT OF ENVIRONMENT PROTECTION,1,CIVIL ENGINEERING INTERN,46466,56270,Annual,9804
241921,DEPT OF HEALTH/MENTAL HYGIENE,1,PROCUREMENT ANALYST,44945,72628,Annual,27683
240416,DEPARTMENT OF TRANSPORTATION,15,DECKHAND,46412,53374,Annual,6962
242010,DEPARTMENT OF CITY PLANNING,1,ASSOCIATE STAFF ANALYST,63817,75000,Annual,11183
241994,ADMIN FOR CHILDREN'S SVCS,1,SUPERVISOR OF NURSES,76597,76597,Annual,0
240779,HRA/DEPT OF SOCIAL SERVICES,10,SOCIAL WORKER,46163,65635,Annual,19472
242043,HRA/DEPT OF SOCIAL SERVICES,1,COMPUTER SPECIALIST (SOFTWARE),83323,108101,Annual,24778
240924,DEPT OF ENVIRONMENT PROTECTION,1,ADMINISTRATIVE ENGINEER,110000,110000,Annual,0
240929,TAXI & LIMOUSINE COMMISSION,1,COMPUTER SYSTEMS MANAGER,74066,92308,Annual,18242
242096,DEPARTMENT OF FINANCE,1,CITY RESEARCH SCIENTIST,68239,80000,Annual,11761
242102,DEPT OF ENVIRONMENT PROTECTION,2,STATIONARY ENGINEER (ELECTRIC),94983,94983,Annual,0
240949,LAW DEPARTMENT,3,COMPUTER ASSOC (OPERATIONS),46303,67469,Annual,21166
242912,DEPT OF ENVIRONMENT PROTECTION,1,CIVIL ENGINEERING INTERN,46466,56270,Annual,9804
242109,DEPT OF INFO TECH & TELECOMM,1,CERTIFIED IT ADMINISTRATOR (LA,87203,125000,Annual,37797
241003,ADMIN FOR CHILDREN'S SVCS,1,COMPUTER ASSOC (SOFTWARE),60189,83440,Annual,23251
242174,ADMIN FOR CHILDREN'S SVCS,2,AGENCY ATTORNEY,57005,87027,Annual,30022
239266,LAW DEPARTMENT,1,COMMUNITY COORDINATOR,48895,75900,Annual,27005
239310,DEPT OF PARKS & RECREATION,1,SURVEYOR,80000,90000,Annual,10000
239312,HOUSING PRESERVATION & DVLPMNT,1,CITY PLANNER,50000,65000,Annual,15000
242469,HRA/DEPT OF SOCIAL SERVICES,1,COMPUTER SYSTEMS MANAGER,70213,115000,Annual,44787
239318,DEPT OF ENVIRONMENT PROTECTION,1,PRINCIPAL ADMINISTRATIVE ASSOC,42856,62779,Annual,19923
242941,DEPT OF INFO TECH & TELECOMM,1,COMPUTER SPECIALIST (SOFTWARE),89383,115000,Annual,25617
239471,ADMIN FOR CHILDREN'S SVCS,1,ADMINISTRATIVE PUBLIC HEALTH N,53051,145991,Annual,92940
239505,DEPT OF ENVIRONMENT PROTECTION,1,CIVIL ENGINEER,72805,101148,Annual,28343
242511,DEPT OF ENVIRONMENT PROTECTION,1,CLERICAL ASSOCIATE,26647,43170,Annual,16523
239541,DEPT OF ENVIRONMENT PROTECTION,1,WATERSHED MAINTAINER,37085,54243,Annual,17158
242646,DEPARTMENT OF INVESTIGATION,1,SPECIAL INVESTIGATOR,40000,69027,Annual,29027
242846,DEPARTMENT OF FINANCE,1,PRINCIPAL ADMINISTRATIVE ASSOC,47951,62000,Annual,14049
243433,DEPARTMENT OF TRANSPORTATION,5,CONSTRUCTION PROJECT MANAGER I,46466,56270,Annual,9804
243558,DEPARTMENT OF FINANCE,1,EXECUTIVE AGENCY COUNSEL,65107,125000,Annual,59893
243565,DEPARTMENT OF TRANSPORTATION,1,INVESTIGATOR,37492,59863,Annual,22371
246314,OFF OF PAYROLL ADMINISTRATION,1,STAFF ANALYST,56458,70546,Annual,14088
243586,DEPARTMENT OF TRANSPORTATION,1,ADM ENGINEER (NON MGRL),48535,132061,Annual,83526
243099,FIRE DEPARTMENT,1,COMPUTER SYSTEMS MANAGER,58675,130000,Annual,71325
246598,DEPARTMENT OF FINANCE,2,COMPUTER SPECIALIST (SOFTWARE),83323,108000,Annual,24677
243613,DEPT OF ENVIRONMENT PROTECTION,1,ADMINISTRATIVE PROJECT MANAGER,85000,100000,Annual,15000
242851,DEPT OF INFO TECH & TELECOMM,3,COMPUTER SPECIALIST (SOFTWARE),89383,115000,Annual,25617
242877,LAW DEPARTMENT,3,CLAIM SPECIALIST,37492,59863,Annual,22371
243638,DEPT OF ENVIRONMENT PROTECTION,1,MECHANICAL ENGINEERING INTERN,52000,52000,Annual,0
243640,ADMIN FOR CHILDREN'S SVCS,2,ADMINISTRATIVE DIRECTOR OF RES,53051,145991,Annual,92940
242878,DEPT OF PARKS & RECREATION,5,COMMUNITY COORDINATOR,50000,60000,Annual,10000
242881,DEPT OF HEALTH/MENTAL HYGIENE,10,CRIMINALIST,49796,49796,Annual,0
243657,DEPARTMENT OF TRANSPORTATION,5,CIVIL ENGINEER,61237,88686,Annual,27449
243658,DEPT OF ENVIRONMENT PROTECTION,1,MACHINIST,70199,81703,Annual,11504
242914,LAW DEPARTMENT,1,STUDENT LEGAL SPECIALIST,35213,40495,Annual,5282
242937,DEPT OF INFO TECH & TELECOMM,1,COMPUTER SPECIALIST (SOFTWARE),83323,105000,Annual,21677
243692,ADMIN FOR CHILDREN'S SVCS,1,STAFF NURSE,69252,69252,Annual,0
242939,DEPT OF INFO TECH & TELECOMM,1,COMPUTER SPECIALIST (SOFTWARE),89383,115000,Annual,25617
243745,DEPARTMENT OF TRANSPORTATION,5,ASSISTANT CIVIL ENGINEER,51586,77404,Annual,25818
243772,DEPT OF ENVIRONMENT PROTECTION,1,ASSOCIATE PROJECT MANAGER,67467,98882,Annual,31415
242977,FIRE DEPARTMENT,1,SENIOR IT ARCHITECT,100000,125000,Annual,25000
243816,ADMIN FOR CHILDREN'S SVCS,1,COMPUTER SPECIALIST (SOFTWARE),74066,92308,Annual,18242
243191,DEPARTMENT OF FINANCE,1,COMPUTER SYSTEMS MANAGER,58675,130000,Annual,71325
243169,DEPARTMENT OF FINANCE,1,ADMINISTRATIVE ARCHITECT,53051,95000,Annual,41949
243886,DEPARTMENT OF FINANCE,1,PRINCIPAL ADMINISTRATIVE ASSOC,42856,49284,Annual,6428
243192,DEPARTMENT OF FINANCE,2,COMPUTER SYSTEMS MANAGER,53051,125000,Annual,71949
243978,FIRE DEPARTMENT,1,COMPUTER SPECIALIST (SOFTWARE),83323,108101,Annual,24778
243993,DEPT OF ENVIRONMENT PROTECTION,1,ADMINISTRATIVE PROJECT MANAGER,48535,134433,Annual,85898
243200,DEPARTMENT OF TRANSPORTATION,1,PRINCIPAL ADMINISTRATIVE ASSOC,42856,62779,Annual,19923
244018,FIRE DEPARTMENT,2,COMPUTER SPECIALIST (SOFTWARE),77157,99406,Annual,22249
243211,DEPT OF DESIGN & CONSTRUCTION,6,ASSOCIATE PROJECT MANAGER,67467,98882,Annual,31415
243238,DEPT OF HEALTH/MENTAL HYGIENE,2,CRIMINALIST,59589,59589,Annual,0
244028,FIRE DEPARTMENT,1,COMPUTER ASSOC (SOFTWARE),69215,101324,Annual,32109
243304,DEPARTMENT OF TRANSPORTATION,1,ADMINISTRATIVE TRANSPORTATION,100000,120000,Annual,20000
244031,FIRE DEPARTMENT,1,COMPUTER SPECIALIST (SOFTWARE),77157,99406,Annual,22249
243343,DEPT OF HEALTH/MENTAL HYGIENE,18,CRIMINALIST,59589,59589,Annual,0
244136,DEPT OF ENVIRONMENT PROTECTION,1,ASSOCIATE QUALITY ASSURANCE SP,53997,75307,Annual,21310
243377,DEPT OF HEALTH/MENTAL HYGIENE,1,CLERICAL ASSOCIATE,32888,37821,Annual,4933
243393,DEPT OF ENVIRONMENT PROTECTION,1,MECHANICAL ENGINEER,72805,101148,Annual,28343
244330,DEPT OF INFO TECH & TELECOMM,2,COMPUTER ASSOC (OPERATIONS),66300,88000,Annual,21700
244820,DEPT OF CITYWIDE ADMIN SVCS,1,ARCHITECT,80000,90000,Annual,10000
245324,DEPARTMENT OF TRANSPORTATION,1,STAFF ANALYST,56458,72310,Annual,15852
243419,LAW DEPARTMENT,1,COMPUTER SPECIALIST (SOFTWARE),77157,99406,Annual,22249
246877,DEPARTMENT OF TRANSPORTATION,1,AGENCY ATTORNEY,64394,96499,Annual,32105
249251,POLICE DEPARTMENT,1,COMMUNITY ASSOCIATE,34644,57655,Annual,23011
246883,OFFICE OF THE COMPTROLLER,1,ADMINISTRATIVE PROCUREMENT ANA,57517,65000,Annual,7483
248014,FIRE DEPARTMENT,1,COMPUTER SPECIALIST (SOFTWARE),77157,99406,Annual,22249
248031,LAW DEPARTMENT,1,COMPUTER ASSOC (SOFTWARE),64807,90202,Annual,25395
248047,LAW DEPARTMENT,1,COMPUTER ASSOC (SOFTWARE),60189,83440,Annual,23251
249126,DEPT OF ENVIRONMENT PROTECTION,1,MECHANICAL ENGINEER,72805,101148,Annual,28343
249226,DEPARTMENT OF TRANSPORTATION,15,BRIDGE OPERATOR,33548,45310,Annual,11762
248153,DEPT OF HEALTH/MENTAL HYGIENE,3,MEDICOLEGAL INVESTIGATOR (OCME,78464,91197,Annual,12733
249284,HRA/DEPT OF SOCIAL SERVICES,1,COMPUTER SYSTEMS MANAGER,58675,156793,Annual,98118
246892,DEPT OF ENVIRONMENT PROTECTION,1,STAFF ANALYST,56458,64927,Annual,8469
247140,DEPT OF INFO TECH & TELECOMM,1,SENIOR IT ARCHITECT,100000,130000,Annual,30000
248248,DEPT OF INFO TECH & TELECOMM,1,RADIO AND TELEVISION OPERATOR,43334,50000,Annual,6666
264965,DEPT OF INFO TECH & TELECOMM,2,COMPUTER SPECIALIST (OPERATION,71330,111344,Annual,40014
248320,DEPT OF HEALTH/MENTAL HYGIENE,1,DEPUTY COMMISSIONER (HEALTH),88417,209652,Annual,121235
251154,DEPT OF DESIGN & CONSTRUCTION,4,ADM ENGINEER (NON MGRL),48535,132061,Annual,83526
248442,DEPT OF ENVIRONMENT PROTECTION,1,ASSOCIATE PROJECT MANAGER,81443,110413,Annual,28970
247211,DEPARTMENT OF INVESTIGATION,1,CONFIDENTIAL INVESTIGATOR,48764,60000,Annual,11236
247365,DEPT OF HEALTH/MENTAL HYGIENE,1,CRIMINALIST,65089,65089,Annual,0
247266,ADMIN FOR CHILDREN'S SVCS,1,AGENCY ATTORNEY,57005,87027,Annual,30022
247300,FIRE DEPARTMENT,5,ASSOCIATE INSPECTOR (ELECTRICA,50463,71290,Annual,20827
248571,NYC HOUSING AUTHORITY,1,ADMIN CONTRACT SPECIALIST (PYR,135000,150000,Annual,15000
248642,ADMIN FOR CHILDREN'S SVCS,3,DIRECTOR OF FIELD OPERATIONS (,53051,145991,Annual,92940
248645,ADMIN FOR CHILDREN'S SVCS,2,DIRECTOR OF FIELD OPERATIONS (,53051,145991,Annual,92940
247328,DEPT OF ENVIRONMENT PROTECTION,2,WATERSHED MAINTAINER,37085,54243,Annual,17158
247343,DEPT OF HEALTH/MENTAL HYGIENE,1,CRIMINALIST,91216,91216,Annual,0
248918,DEPARTMENT OF CORRECTION,2,COMPUTER SYSTEMS MANAGER,110000,130000,Annual,20000
247352,DEPT OF HEALTH/MENTAL HYGIENE,1,CRIMINALIST,79787,79787,Annual,0
248920,DEPARTMENT OF CORRECTION,1,COMPUTER SYSTEMS MANAGER,100000,120000,Annual,20000
248646,ADMIN FOR CHILDREN'S SVCS,1,ADMINISTRATIVE DIRECTOR OF SOC,58675,156793,Annual,98118
248736,DEPARTMENT OF SANITATION,2,CERT IT DEVELOPER (APP),89383,134914,Annual,45531
247362,DEPT OF HEALTH/MENTAL HYGIENE,1,CRIMINALIST,55296,55296,Annual,0
247376,DEPT OF ENVIRONMENT PROTECTION,2,PROCUREMENT ANALYST,44945,72628,Annual,27683
248919,DEPARTMENT OF CORRECTION,4,COMPUTER SYSTEMS MANAGER,100000,120000,Annual,20000
247403,LAW DEPARTMENT,1,CLERICAL ASSOCIATE,32888,53281,Annual,20393
247406,HRA/DEPT OF SOCIAL SERVICES,3,COMMUNITY ASSOCIATE,34644,57655,Annual,23011
247532,DEPT OF ENVIRONMENT PROTECTION,3,DISTRICT SUPERVISOR (WATER & S,62194,91472,Annual,29278
248922,DEPARTMENT OF CORRECTION,1,COMPUTER SYSTEMS MANAGER,100000,120000,Annual,20000
246734,ADMIN FOR CHILDREN'S SVCS,1,ASSOCIATE STAFF ANALYST,63817,95022,Annual,31205
251156,DEPT OF DESIGN & CONSTRUCTION,4,ADMIN ARCHITECT (NON MGRL) M-1,48535,132061,Annual,83526
247852,DEPT OF ENVIRONMENT PROTECTION,1,CLERICAL ASSOCIATE,36166,56775,Annual,20609
247879,POLICE DEPARTMENT,2,INVESTIGATOR TRAINEE (PYRL NOT,29153,41267,Annual,12114
247886,DEPT OF ENVIRONMENT PROTECTION,1,ASSOCIATE PUBLIC HEALTH SANITA,60673,91795,Annual,31122
249055,DEPARTMENT OF SANITATION,1,CERT IT DEVELOPER (APP),89383,134914,Annual,45531
248000,HRA/DEPT OF SOCIAL SERVICES,1,COMMUNITY COORDINATOR,48895,56229,Annual,7334
249039,DEPT OF HEALTH/MENTAL HYGIENE,4,CRIMINALIST,59589,59589,Annual,0
249046,DEPARTMENT OF SANITATION,1,COMPUTER SPECIALIST (OPERATION,69253,108101,Annual,38848
249052,DEPARTMENT OF SANITATION,1,COMPUTER SPECIALIST (OPERATION,69253,108101,Annual,38848
246795,DEPT OF INFO TECH & TELECOMM,3,COMPUTER ASSOC (OPERATIONS),66300,80000,Annual,13700
249054,DEPARTMENT OF SANITATION,1,ADMINISTRATIVE SUPERVISOR OF B,53051,145991,Annual,92940
249058,DEPARTMENT OF SANITATION,1,CERT IT DEVELOPER (APP),89383,134914,Annual,45531
249060,DEPARTMENT OF SANITATION,1,CERT IT DEVELOPER (APP),89383,134914,Annual,45531
246812,DEPT OF DESIGN & CONSTRUCTION,1,COMPUTER PROGRAMMER ANALYST,55637,77953,Annual,22316
246814,DEPT OF INFO TECH & TELECOMM,1,SENIOR IT ARCHITECT,100000,130000,Annual,30000
249083,DEPT OF HEALTH/MENTAL HYGIENE,4,CRIMINALIST,59589,59589,Annual,0
246852,DEPT OF INFO TECH & TELECOMM,1,COMPUTER SPECIALIST (SOFTWARE),74066,90000,Annual,15934
253358,HRA/DEPT OF SOCIAL SERVICES,2,CITY RESEARCH SCIENTIST,57969,62000,Annual,4031
246873,OFFICE OF THE COMPTROLLER,1,ADMINISTRATIVE PROCUREMENT ANA,57517,65000,Annual,7483
249392,DEPT OF ENVIRONMENT PROTECTION,1,ADMINISTRATIVE PROJECT MANAGER,48535,134433,Annual,85898
251111,DEPARTMENT OF INVESTIGATION,1,CONFIDENTIAL INVESTIGATOR,48764,57400,Annual,8636
253540,HRA/DEPT OF SOCIAL SERVICES,2,COMPUTER SYSTEMS MANAGER,53051,145991,Annual,92940
251143,DEPT OF HEALTH/MENTAL HYGIENE,1,CITY RESEARCH SCIENTIST,68239,85644,Annual,17405
253555,HRA/DEPT OF SOCIAL SERVICES,1,COMPUTER SYSTEMS MANAGER,53051,145991,Annual,92940
251999,TAXI & LIMOUSINE COMMISSION,1,COMMUNITY COORDINATOR,48895,70000,Annual,21105
249490,DEPARTMENT OF FINANCE,1,COMPUTER ASSOC (SOFTWARE),69215,79597,Annual,10382
251310,LAW DEPARTMENT,1,PARALEGAL AIDE,39041,54633,Annual,15592
251373,DEPT OF ENVIRONMENT PROTECTION,1,CITY RESEARCH SCIENTIST,68239,85644,Annual,17405
249532,DEPT OF INFO TECH & TELECOMM,5,CERT IT ADMINISTRATOR (DB),83323,110000,Annual,26677
251374,CIVILIAN COMPLAINT REVIEW BD,1,EXECUTIVE AGENCY COUNSEL,85000,123000,Annual,38000
251508,DEPT OF YOUTH & COMM DEV SRVS,1,ASSOCIATE STAFF ANALYST,63817,95022,Annual,31205
249559,DEPARTMENT OF FINANCE,1,CITY RESEARCH SCIENTIST,68239,78475,Annual,10236
249577,DEPT OF INFO TECH & TELECOMM,1,IT AUTOMATION AND MONITORING E,75000,120000,Annual,45000
251619,FIRE DEPARTMENT,3,COMPUTER ASSOC (OPERATIONS),55556,82776,Annual,27220
251623,DEPT OF ENVIRONMENT PROTECTION,1,AGENCY ATTORNEY,71784,105974,Annual,34190
249725,DEPT OF DESIGN & CONSTRUCTION,1,ADMINISTRATIVE PROJECT MANAGER,58675,156793,Annual,98118
249732,DEPT OF ENVIRONMENT PROTECTION,2,SUPERVISOR (WATERSHED MAINTENA,57074,71502,Annual,14428
251630,DEPT OF ENVIRONMENT PROTECTION,1,COMMUNITY COORDINATOR,48895,75900,Annual,27005
251636,FIRE DEPARTMENT,1,IT PROJECT SPECIALIST,75000,125000,Annual,50000
251646,DEPT OF ENVIRONMENT PROTECTION,4,ENGINEERING TECHNICIAN,35183,45647,Annual,10464
249749,DEPT OF DESIGN & CONSTRUCTION,1,ADMINISTRATIVE ENGINEER,58675,156793,Annual,98118
251659,DEPT OF INFO TECH & TELECOMM,1,COMPUTER SYSTEMS MANAGER,60435,150000,Annual,89565
251746,FIRE DEPARTMENT,1,IT INFRASTRUCTURE ENGINEER,75000,110000,Annual,35000
251749,DEPARTMENT OF TRANSPORTATION,1,COMPUTER ASSOC (SOFTWARE),60189,83440,Annual,23251
251875,DEPT OF INFO TECH & TELECOMM,1,CERT IT ADMINISTRATOR (DB),83323,110000,Annual,26677
252002,CIVILIAN COMPLAINT REVIEW BD,1,INVESTIGATIVE MANAGER (CCRB),80000,100000,Annual,20000
250692,DEPT OF INFO TECH & TELECOMM,3,COMPUTER SPECIALIST (OPERATION,69253,105000,Annual,35747
252119,DEPT OF ENVIRONMENT PROTECTION,4,ASSISTANT CIVIL ENGINEER,51586,77404,Annual,25818
252127,DEPT OF ENVIRONMENT PROTECTION,1,MECHANICAL ENGINEER,72805,101148,Annual,28343
252466,BUSINESS INTEGRITY COMMISSION,3,COMMUNITY ASSOCIATE,40000,46655,Annual,6655
252522,DEPT OF INFO TECH & TELECOMM,1,SENIOR IT ARCHITECT,100000,130000,Annual,30000
250318,NYC HOUSING AUTHORITY,1,COMPUTER ASSOC (SOFTWARE),60189,83440,Annual,23251
253925,DEPT OF YOUTH & COMM DEV SRVS,1,MANAGEMENT AUDITOR,50623,80988,Annual,30365
250320,DEPARTMENT OF TRANSPORTATION,2,PRINCIPAL ADMINISTRATIVE ASSOC,47951,69703,Annual,21752
252635,BUSINESS INTEGRITY COMMISSION,3,COMMUNITY ASSOCIATE,35644,41000,Annual,5356
250368,DEPT OF ENVIRONMENT PROTECTION,1,ASSOCIATE PUBLIC HEALTH SANITA,60673,91795,Annual,31122
252731,DEPT OF ENVIRONMENT PROTECTION,8,ENGINEERING TECHNICIAN,35183,45647,Annual,10464
252976,DEPT OF INFO TECH & TELECOMM,1,COMPUTER ASSOC (SOFTWARE),61995,71294,Annual,9299
251044,DEPT OF ENVIRONMENT PROTECTION,19,ENVIRONMENTAL ENGINEERING INTE,46466,56270,Annual,9804
253811,DEPT OF INFO TECH & TELECOMM,1,COMPUTER SPECIALIST (SOFTWARE),83323,108101,Annual,24778
255778,DEPT OF ENVIRONMENT PROTECTION,1,ENGINEERING TECHNICIAN,38061,53977,Annual,15916
255817,ADMIN FOR CHILDREN'S SVCS,1,COMPUTER SYSTEMS MANAGER,53051,111946,Annual,58895
260009,ADMIN FOR CHILDREN'S SVCS,1,MECHANICAL ENGINEER,72805,101148,Annual,28343
254409,HRA/DEPT OF SOCIAL SERVICES,1,SPACE ANALYST,61237,70422,Annual,9185
260404,DEPT OF HEALTH/MENTAL HYGIENE,1,CRIMINALIST,59589,59589,Annual,0
260407,DEPT OF INFO TECH & TELECOMM,1,BUSINESS PROMOTION COORDINATOR,57976,70000,Annual,12024
256231,OFFICE OF THE COMPTROLLER,1,RESEARCH AND LIAISON COORDINAT,60000,80000,Annual,20000
256331,OFFICE OF THE COMPTROLLER,1,LABOR RELATIONS ANALYST TRAINE,45000,54075,Annual,9075
254254,HRA/DEPT OF SOCIAL SERVICES,1,COMPUTER SYSTEMS MANAGER,53051,145991,Annual,92940
256629,DEPARTMENT OF FINANCE,1,PRINCIPAL ADMINISTRATIVE ASSOC,42856,49284,Annual,6428
256709,DEPT OF ENVIRONMENT PROTECTION,5,SUPERVISOR (WATER & SEWER SYST,57074,87116,Annual,30042
256805,FIRE DEPARTMENT,1,COMPUTER ASSOC (SOFTWARE),60189,83440,Annual,23251
268157,OFFICE OF THE COMPTROLLER,1,BUSINESS PROMOTION COORDINATOR,50000,65000,Annual,15000
256838,DEPT OF ENVIRONMENT PROTECTION,1,PROCUREMENT ANALYST,44945,70000,Annual,25055
257538,DEPT OF ENVIRONMENT PROTECTION,1,INDUSTRIAL HYGIENIST,50649,68071,Annual,17422
257551,DEPT OF ENVIRONMENT PROTECTION,1,ADMINISTRATIVE PUBLIC HEALTH S,53051,145991,Annual,92940
254515,DEPARTMENT OF FINANCE,1,CITY PLANNING TECHNICIAN,35183,40461,Annual,5278
254594,DEPT OF ENVIRONMENT PROTECTION,1,ELECTRICAL ENGINEER,81443,110413,Annual,28970
254599,DEPT OF ENVIRONMENT PROTECTION,1,CIVIL ENGINEER,72805,101148,Annual,28343
257724,DEPT OF ENVIRONMENT PROTECTION,2,ASSISTANT MECHANICAL ENGINEER,51586,77404,Annual,25818
254600,DEPARTMENT OF INVESTIGATION,1,CONFIDENTIAL INVESTIGATOR,48764,60000,Annual,11236
257767,DEPARTMENT OF INVESTIGATION,1,CONFIDENTIAL INVESTIGATOR,62601,82444,Annual,19843
254915,HRA/DEPT OF SOCIAL SERVICES,30,PUBLIC HEALTH EDUCATOR,48447,52000,Annual,3553
257900,DEPT OF ENVIRONMENT PROTECTION,1,COMPUTER ASSOC (TECH SUPP),66434,102033,Annual,35599
255105,DEPT OF ENVIRONMENT PROTECTION,1,PRINCIPAL ADMINISTRATIVE ASSOC,42856,50000,Annual,7144
257907,DEPT OF ENVIRONMENT PROTECTION,1,COMPUTER ASSOC (TECH SUPP),46405,67568,Annual,21163
257952,DEPT OF INFO TECH & TELECOMM,1,COMPUTER SPECIALIST (OPERATION,69253,106795,Annual,37542
255347,DEPT OF INFO TECH & TELECOMM,2,COMPUTER SPECIALIST (OPERATION,69253,105000,Annual,35747
257953,CIVILIAN COMPLAINT REVIEW BD,2,COMMUNITY ASSOCIATE,34644,57655,Annual,23011
257988,HRA/DEPT OF SOCIAL SERVICES,8,PUBLIC HEALTH EDUCATOR,48447,54745,Annual,6298
269192,CONSUMER AFFAIRS,1,COMPUTER SYSTEMS MANAGER,54643,150371,Annual,95728
258215,DEPT OF ENVIRONMENT PROTECTION,1,ADM ENGINEER (NON MGRL),105000,106000,Annual,1000
255370,OFFICE OF THE COMPTROLLER,1,ADMINISTRATIVE MANAGEMENT AUDI,95000,105000,Annual,10000
259017,DEPT OF ENVIRONMENT PROTECTION,1,PROCUREMENT ANALYST,37411,63456,Annual,26045
259420,HRA/DEPT OF SOCIAL SERVICES,1,STAFF NURSE,71669,71669,Annual,0
259423,HRA/DEPT OF SOCIAL SERVICES,1,STAFF NURSE,71669,71669,Annual,0
259471,ADMIN FOR CHILDREN'S SVCS,1,ADMINISTRATIVE DIRECTOR OF SOC,58675,114673,Annual,55998
253700,DEPT OF ENVIRONMENT PROTECTION,1,WATERSHED MAINTAINER,37085,54243,Annual,17158
253736,DEPT OF ENVIRONMENT PROTECTION,2,WATERSHED MAINTAINER,37085,54243,Annual,17158
253756,DEPT OF ENVIRONMENT PROTECTION,2,WATERSHED MAINTAINER,37085,54243,Annual,17158
253780,DEPT OF INFO TECH & TELECOMM,2,COMPUTER SPECIALIST (SOFTWARE),89383,123773,Annual,34390
259832,HRA/DEPT OF SOCIAL SERVICES,2,STAFF NURSE,71669,71669,Annual,0
260005,HRA/DEPT OF SOCIAL SERVICES,1,SOCIAL WORKER,46163,65635,Annual,19472
253794,DEPT OF INFO TECH & TELECOMM,1,COMPUTER SPECIALIST (SOFTWARE),89383,120000,Annual,30617
260479,ADMIN FOR CHILDREN'S SVCS,1,CHILD WELFARE SPECIALIST,46995,71984,Annual,24989
262212,DEPT OF DESIGN & CONSTRUCTION,1,ADMINISTRATIVE ENGINEER,60435,161497,Annual,101062
262252,DEPT OF DESIGN & CONSTRUCTION,2,CONSTRUCTION PROJECT MANAGER,67083,113725,Annual,46642
262352,DEPT OF DESIGN & CONSTRUCTION,2,ESTIMATOR (GENERAL CONSTRUCTIO,53134,79726,Annual,26592
263569,ADMIN TRIALS AND HEARINGS,1,ADMINISTRATIVE LAW JUDGE,90000,130000,Annual,40000
263606,FIRE DEPARTMENT,1,COMPUTER SPECIALIST (SOFTWARE),79471,95000,Annual,15529
262366,DEPT OF DESIGN & CONSTRUCTION,3,SENIOR ESTIMATOR (GENERAL CONS,63074,91347,Annual,28273
262372,DEPT OF INFO TECH & TELECOMM,1,IT INFRASTRUCTURE ENGINEER,75000,117775,Annual,42775
262378,DEPT OF DESIGN & CONSTRUCTION,5,ASSOCIATE URBAN DESIGNER,63074,91347,Annual,28273
263640,DEPT OF INFO TECH & TELECOMM,1,SENIOR IT ARCHITECT,100000,125000,Annual,25000
262379,DEPT OF DESIGN & CONSTRUCTION,1,PRINCIPAL ADMINISTRATIVE ASSOC,47951,69703,Annual,21752
262545,DEPT OF YOUTH & COMM DEV SRVS,1,STOCK WORKER,33350,49864,Annual,16514
262549,ADMIN FOR CHILDREN'S SVCS,1,ADMINISTRATIVE DIRECTOR OF SOC,54643,99509,Annual,44866
260538,ADMIN FOR CHILDREN'S SVCS,2,COMMUNITY COORDINATOR,50362,78177,Annual,27815
260707,DEPT OF HEALTH/MENTAL HYGIENE,3,FORENSIC MORTUARY TECHNICIAN,51072,58733,Annual,7661
262657,DEPARTMENT OF CORRECTION,3,DIRECTOR OF CORRECTIONAL STAND,160000,180000,Annual,20000
260758,ADMIN FOR CHILDREN'S SVCS,1,COMMUNITY COORDINATOR,50362,71471,Annual,21109
260759,DEPT OF ENVIRONMENT PROTECTION,1,COMPUTER SYSTEMS MANAGER,60435,161497,Annual,101062
262895,DEPT OF ENVIRONMENT PROTECTION,1,ASSISTANT CIVIL ENGINEER,53134,79726,Annual,26592
262940,DEPARTMENT OF PROBATION,1,AGENCY ATTORNEY,66326,99394,Annual,33068
260974,ADMIN FOR CHILDREN'S SVCS,2,COMMUNITY COORDINATOR,50362,71471,Annual,21109
